grupi_id,base_id,oracle_id,n_amendments,schema
1048509,121042020059,102122020006,4,tyviseadus
1050852,117042021005,103122021023,4,tyviseadus
1053073,125052022003,126112022007,4,tyviseadus
1055383,130062023106,108122023006,4,tyviseadus
1057989,126062024004,111122024014,6,tyviseadus
1035172,121122016033,121122016034,10,tyviseadus
1056096,108102024026,108072025060,18,tyviseadus
1039406,119122024003,118122025016,22,tyviseadus
328670,128122011069,129062014128,24,tyviseadus
1000160,104012021044,104012021045,26,tyviseadus
1045568,131122024044,106032026010,26,tyviseadus
1060185,117032026008,118032026017,26,tyviseadus
151839,116112010009,113032026002,26,tyviseadus
1045609,102122022004,125032025002,30,tyviseadus
151381,111042025003,900000164299,32,tyviseadus
1054042,123122022025,114032025010,38,tyviseadus
1054314,123122022027,114032025014,38,tyviseadus
1036212,130122024006,130122025016,40,tyviseadus
1032299,112062025013,130122025036,44,tyviseadus
159352,124112020004,120122022005,44,tyviseadus
333860,119052020010,104122024021,44,tyviseadus
1059281,114112025027,114112025028,46,tyviseadus
158618,124112020005,120122022006,46,tyviseadus
317943,114032014060,113032019009,46,tyviseadus
1043213,130122024012,131122025005,48,tyviseadus
157933,130062015048,104072017101,50,tyviseadus
158233,125102016016,118122024006,50,tyviseadus
1050419,119022026002,119022026003,52,tyviseadus
1055121,104012024006,114022025004,52,tyviseadus
157539,115032014084,101092015036,52,tyviseadus
159423,125052012018,121052014019,52,tyviseadus
329980,117032026014,117032026015,54,tyviseadus
160822,108072011074,127062017011,56,tyviseadus
162381,107122018015,110122020026,56,tyviseadus
309273,112112021018,107012025003,56,tyviseadus
343409,131122015021,130052024016,56,tyviseadus
155295,104072024023,131122024050,58,tyviseadus
1034848,117122021003,121092023003,60,tyviseadus
339952,128122017011,104012024003,60,tyviseadus
343399,107052025007,110022026003,62,tyviseadus
1003613,113042021004,114032025012,68,tyviseadus
1028732,130042024011,130042024012,70,tyviseadus
159199,112112021012,103022026014,70,tyviseadus
313841,121062016022,130122024019,70,tyviseadus
344971,108072020009,108072020010,70,tyviseadus
155037,110112022016,107052025016,72,tyviseadus
1019857,122122020049,114032025002,74,tyviseadus
1046155,115042025008,108072025070,74,tyviseadus
160830,123122013059,130042024006,74,tyviseadus
158537,118122024007,117032026013,76,tyviseadus
159207,127122013032,118122025010,76,tyviseadus
159347,127022015004,106082022008,78,tyviseadus
153374,107052025019,108042025012,80,tyviseadus
159422,106122012015,104122014005,82,tyviseadus
1056097,112062025015,112062025016,84,tyviseadus
157786,105122017009,117042025008,84,tyviseadus
1046443,123122024004,112072025016,86,tyviseadus
159225,118032011008,111072013019,86,tyviseadus
159258,108072011072,129112011008,88,tyviseadus
156273,106072023070,110022026016,90,tyviseadus
159213,103022011005,103022011007,90,tyviseadus
159315,118122012017,123122022029,90,tyviseadus
159257,107062013005,117082024002,92,tyviseadus
1000609,105072025007,108072025014,94,tyviseadus
159179,123032015098,110022026005,94,tyviseadus
1043536,123122022037,104122024010,96,tyviseadus
151815,116122014012,114032023024,96,tyviseadus
335078,118022026004,118022026005,96,tyviseadus
1021904,109102020005,123122022004,102,tyviseadus
153432,113032019081,110072020098,102,tyviseadus
156221,129112010006,129112010007,102,tyviseadus
344970,116062020010,102012025043,102,tyviseadus
1030147,111112025005,117032026005,104,tyviseadus
157456,122122021038,130062023072,104,tyviseadus
309561,103052017009,109012025004,104,tyviseadus
1037242,103122024020,111112025004,108,tyviseadus
1038990,107062024024,130122024018,110,tyviseadus
159200,116102015002,126062018021,110,tyviseadus
159231,127042022008,104122024015,110,tyviseadus
1013770,129052025002,128012026004,112,tyviseadus
1026884,122052021004,102062021019,112,tyviseadus
1035400,102102025017,102102025018,112,tyviseadus
154039,107032019003,107032019004,112,tyviseadus
1028716,113022026005,113022026006,114,tyviseadus
160865,106072023113,108042025018,114,tyviseadus
310173,127022022002,130122025017,114,tyviseadus
1001874,112022020007,107052025008,116,tyviseadus
1028731,130122024007,121112025003,116,tyviseadus
336584,116122014013,116122014014,116,tyviseadus
159307,126032013007,104062014005,122,tyviseadus
1000833,104072024019,102012025026,124,tyviseadus
152862,112112021013,103022026016,124,tyviseadus
157480,106082022022,104072024024,124,tyviseadus
160763,108072011068,130032012024,124,tyviseadus
318465,104012021036,114032025019,125,tyviseadus
1026887,106082022030,131122024023,126,tyviseadus
159326,124032021006,110102022002,126,tyviseadus
159245,113122022028,105042024003,128,tyviseadus
1028733,119032019093,130012025002,130,tyviseadus
1031478,115072022005,103122025007,132,tyviseadus
163380,110012014014,108072016042,132,tyviseadus
156270,107032012004,101062013014,134,tyviseadus
1024724,102062021021,130062023054,136,tyviseadus
153584,115032011021,121122011018,136,tyviseadus
153997,120052025005,900000164860,136,tyviseadus
1032300,131122024051,108072025032,137,tyviseadus
1003783,120022024006,103022026012,138,tyviseadus
1041613,122032022012,122122023007,138,tyviseadus
322074,114032014062,130012015002,140,tyviseadus
1039283,108072025053,112072025025,146,tyviseadus
155036,122032021008,131122024048,146,tyviseadus
158344,118122025015,110022026015,146,tyviseadus
161914,118052016002,125012017008,146,tyviseadus
1024943,118032022002,128012026006,148,tyviseadus
1028504,121112025012,121112025013,152,tyviseadus
1038024,130122025019,130122025020,152,tyviseadus
323050,104062014009,102012025082,152,tyviseadus
158675,102012025075,117032026011,154,tyviseadus
1000660,114032023039,130122024017,156,tyviseadus
1000784,106032026006,106032026007,156,tyviseadus
1026883,105022022002,122032022003,156,tyviseadus
1027366,102052024009,113022026011,156,tyviseadus
158839,103062025016,107012026010,156,tyviseadus
159182,122022023015,122022023016,158,tyviseadus
1003782,103022026007,110022026002,160,tyviseadus
1035220,103072017018,126062018010,160,tyviseadus
157255,131122013007,131122013008,160,tyviseadus
159410,127092023010,127092023011,160,tyviseadus
1028263,103012022016,106072023075,164,tyviseadus
1046217,104072024020,113022026012,164,tyviseadus
1028700,111112022002,130062023023,170,tyviseadus
161912,119122019017,111032023091,170,tyviseadus
163184,107032019002,102062020009,174,tyviseadus
335616,129062024017,117042025024,176,tyviseadus
156290,108102024010,107012026019,180,tyviseadus
159222,115032013034,125012017006,180,tyviseadus
310543,123122013074,125102016020,182,tyviseadus
157343,105102022003,117042025018,184,tyviseadus
339043,111012023012,107052025017,184,tyviseadus
152074,106082022024,114032025025,188,tyviseadus
153646,122122020047,106072023105,188,tyviseadus
161988,13336397,117032011020,188,tyviseadus
161965,114092012001,110012014015,190,tyviseadus
327642,121112020005,111112025003,191,tyviseadus
159411,119032013007,112072014164,194,tyviseadus
163335,114032023038,104122024011,194,tyviseadus
316586,117032015008,121092023002,196,tyviseadus
1040737,118102024004,121112025007,197,tyviseadus
1028276,111062024012,130122024014,200,tyviseadus
320219,106032026008,106032026009,205,tyviseadus
160821,101062013009,111042014005,207,tyviseadus
159169,127062017008,118122025007,208,tyviseadus
156646,115072022007,127092023008,210,tyviseadus
158536,118062021013,130062023099,210,tyviseadus
158270,117042021007,104032022007,212,tyviseadus
161887,13247639,131012012006,212,tyviseadus
162598,102062021013,108042025011,212,tyviseadus
1028714,111102024005,111112025017,213,tyviseadus
159281,103042018008,103042018009,214,tyviseadus
307198,124112016002,127092023006,214,tyviseadus
305458,127092024014,107052025002,216,tyviseadus
1027098,126062025033,126062025034,217,tyviseadus
1013729,108072025069,107012026026,220,tyviseadus
159339,116122022028,130062023098,220,tyviseadus
161959,117112011007,128112011003,223,tyviseadus
159270,104032011004,128062012029,224,tyviseadus
159284,119032013003,131122025003,224,tyviseadus
159400,126052020011,108042025019,224,tyviseadus
161873,130062024004,130062024005,224,tyviseadus
338795,121052014030,121052014031,226,tyviseadus
158449,128042017008,123122022030,228,tyviseadus
159388,110072020088,130122021020,228,tyviseadus
159243,121122010026,121122010027,229,tyviseadus
1022833,131032022006,129062024012,230,tyviseadus
134909,130042024013,130042024014,230,tyviseadus
156828,104032019019,107022023005,230,tyviseadus
156249,115042025005,110022026006,232,tyviseadus
162298,102012025042,117032026007,232,tyviseadus
157542,123122014026,107072015021,234,tyviseadus
159378,106012023046,106012023047,234,tyviseadus
317942,131122015045,111032016006,234,tyviseadus
157934,114032025018,105072025018,235,tyviseadus
1000783,105072025008,118032026030,236,tyviseadus
1028729,118122025020,118122025021,236,tyviseadus
159205,109122021012,101032023045,236,tyviseadus
157021,130062015051,125102016017,240,tyviseadus
158271,108072014021,107072015023,240,tyviseadus
158646,110072025004,110072025005,240,tyviseadus
153072,110022023034,118032026026,242,tyviseadus
155073,125052012022,104072013008,242,tyviseadus
1011889,130042024003,103022026010,244,tyviseadus
158325,126042013006,111042014003,245,tyviseadus
159364,130122011055,117042013003,249,tyviseadus
160794,104072017126,111012018009,250,tyviseadus
1028425,114032023030,114032023031,252,tyviseadus
323654,102062021020,126092023001,252,tyviseadus
1022238,106072018008,128122018039,256,tyviseadus
318765,108072021012,108072021013,258,tyviseadus
161906,130122011047,113122013023,259,tyviseadus
152863,102012025079,117032026012,260,tyviseadus
157540,107022023004,122092023002,260,tyviseadus
340149,113022026009,113022026010,260,tyviseadus
1032355,118032026024,118032026025,262,tyviseadus
155355,120032013023,101092015026,262,tyviseadus
162515,122122013072,104122014006,264,tyviseadus
1046442,117052025003,117052025004,268,tyviseadus
344284,111032025002,111032025003,268,tyviseadus
159428,131122022011,114032023025,270,tyviseadus
161890,105022014005,105052022008,270,tyviseadus
153569,104072024018,111112025016,271,tyviseadus
161903,104082022012,130012025004,274,tyviseadus
344969,114112025024,114112025025,274,tyviseadus
346475,110022026010,110022026011,275,tyviseadus
310547,106052020036,103022026013,276,tyviseadus
343640,116122022020,129062024007,276,tyviseadus
1000822,105072025011,105072025012,278,tyviseadus
159354,114032025021,117042025031,278,tyviseadus
309829,127092023013,114022025005,278,tyviseadus
1035398,118032026031,118032026032,280,tyviseadus
158204,122122022020,120112024002,282,tyviseadus
331584,123122024006,103022026015,284,tyviseadus
159414,122012016009,110032017006,285,tyviseadus
157479,102122014005,102122014006,286,tyviseadus
159311,110112022010,128012026008,286,tyviseadus
339941,109042021007,114032025016,288,tyviseadus
157035,116032011005,116032011006,290,tyviseadus
157710,108072014024,120022015009,292,tyviseadus
159392,117032011027,117032011028,294,tyviseadus
1014831,107012026014,107012026015,296,tyviseadus
1000658,108072025068,107012026020,298,tyviseadus
151244,127092023005,119122024005,298,tyviseadus
300363,126062025022,126062025023,299,tyviseadus
1021902,119122025003,119122025004,300,tyviseadus
161870,115032022004,101072025003,300,tyviseadus
1040739,113022026014,113022026015,302,tyviseadus
154048,124052024006,124052024007,302,tyviseadus
156299,122052021007,117032026006,302,tyviseadus
336245,117042025037,130122025025,302,tyviseadus
159387,127022019013,122032021011,304,tyviseadus
159390,111102024006,113022026002,304,tyviseadus
339920,105042024006,107062024015,304,tyviseadus
341226,114032025030,107012025013,304,tyviseadus
153991,129032022007,130112022005,306,tyviseadus
159397,126042024004,126042024005,312,tyviseadus
155092,123122022032,113022026018,314,tyviseadus
155323,131052021002,117032023047,318,tyviseadus
155356,124052024009,124052024010,324,tyviseadus
1036448,130122024013,108072025059,325,tyviseadus
1000449,127022022009,115062022003,326,tyviseadus
155849,107012025012,110072025003,327,tyviseadus
157052,104112016005,104012019016,328,tyviseadus
161888,130032023007,130032023008,329,tyviseadus
157611,116062016016,128122018040,330,tyviseadus
159331,116032011011,104122014014,330,tyviseadus
343642,116122022021,106072023068,332,tyviseadus
159235,130032023005,130032023006,338,tyviseadus
1003784,127092024006,103022026017,340,tyviseadus
161919,105122014039,114032025013,342,tyviseadus
158724,109012025030,107052025015,345,tyviseadus
156035,124052024002,124052024003,346,tyviseadus
344763,107012026012,107012026013,347,tyviseadus
162383,106032026004,106032026005,355,tyviseadus
159194,129062022016,114032025022,358,tyviseadus
159418,111102024017,130122025037,358,tyviseadus
329660,101032023053,111112025013,358,tyviseadus
155038,120052025002,120052025003,360,tyviseadus
159171,104122024020,118122025009,360,tyviseadus
159303,120062022025,123122022031,360,tyviseadus
161921,120122018007,123052020006,361,tyviseadus
156738,106072023129,123122024009,362,tyviseadus
338793,130122024016,131122025006,362,tyviseadus
343403,127122013026,129102014007,362,tyviseadus
157600,106052020038,127092023012,364,tyviseadus
158691,111112025014,111112025015,365,tyviseadus
159425,116062021002,127092023009,369,tyviseadus
304753,117042025020,117042025021,370,tyviseadus
161935,123032015270,120122016003,371,tyviseadus
155250,122032024011,105072025019,374,tyviseadus
158346,118032026020,118032026021,374,tyviseadus
157649,107012026023,107012026024,377,tyviseadus
159299,108112012002,103072014023,378,tyviseadus
161917,103022023007,118102024005,378,tyviseadus
148004,131122024041,103042025002,380,tyviseadus
1035395,108042025003,108042025004,384,tyviseadus
159305,130122024004,107052025009,385,tyviseadus
335691,121112025005,121112025006,386,tyviseadus
159431,105072025020,118112025002,388,tyviseadus
159211,111112025002,128012026007,390,tyviseadus
159363,102062020008,114032025020,390,tyviseadus
162617,113022026007,113022026008,390,tyviseadus
159430,122122020038,114032025004,394,tyviseadus
1027446,119022026004,119022026005,398,tyviseadus
159254,107062024013,107062024014,400,tyviseadus
159405,128122018041,104122019022,400,tyviseadus
156254,109082022022,108102024012,401,tyviseadus
161892,127122016006,112122018081,404,tyviseadus
135058,106012023036,106012023037,405,tyviseadus
160824,131122024043,110062025004,405,tyviseadus
160831,130042024004,112122024004,409,tyviseadus
156209,114032025017,111112025012,410,tyviseadus
159260,104122024016,121112025004,410,tyviseadus
159407,130012025011,103122025012,410,tyviseadus
158568,110102024009,108072025058,414,tyviseadus
157610,104122024013,128012026005,416,tyviseadus
162491,102122022009,102122022010,416,tyviseadus
156951,129112018003,129112019003,418,tyviseadus
161940,126062025024,126062025025,418,tyviseadus
157541,103122024015,103122024016,419,tyviseadus
335409,123102025002,123102025003,424,tyviseadus
162387,110112022009,104122024022,428,tyviseadus
304755,127092024002,109012025035,430,tyviseadus
323660,118042025002,103022026011,430,tyviseadus
163383,130122025021,130122025022,433,tyviseadus
305431,105012024004,119122024006,434,tyviseadus
159033,118022022005,102122022013,438,tyviseadus
161947,104122024012,130122025023,442,tyviseadus
156253,108102024023,108102024024,445,tyviseadus
161900,123032015282,120122016002,446,tyviseadus
100988,120022015005,109012018006,454,tyviseadus
159154,108072025061,107012026021,454,tyviseadus
161931,128122022043,109012025023,454,tyviseadus
163125,101072023008,101072023009,458,tyviseadus
152867,126062025020,126062025021,460,tyviseadus
159402,108102024021,101072025004,464,tyviseadus
162951,114032025024,108042025007,464,tyviseadus
156289,118032026018,118032026019,468,tyviseadus
159396,126042024013,117042025022,468,tyviseadus
163422,118032026029,118032026035,470,tyviseadus
153395,117032026003,117032026004,472,tyviseadus
159406,104122019031,101072020037,472,tyviseadus
161881,114032025029,128112024005,474,tyviseadus
158292,102102025015,130122025018,476,tyviseadus
162949,103122025010,103122025011,480,tyviseadus
154022,102102025004,102102025005,490,tyviseadus
162500,105072025010,122122025002,490,tyviseadus
154254,102102025006,116122025035,494,tyviseadus
135277,122122025003,122122025004,496,tyviseadus
153607,111112025007,130122025006,496,tyviseadus
161985,130122025034,130122025035,502,tyviseadus
153716,112062025011,112062025012,515,tyviseadus
161876,110022026013,110022026014,526,tyviseadus
161909,106072023130,106072023131,556,tyviseadus
161969,118122025017,118122025018,659,tyviseadus
