grupi_id,base_id,oracle_id,n_amendments,schema,base_effective,oracle_effective,pair_index,redaction_count,title
1000160,131012014008,104012021044,26,tyviseadus,2014-07-01,2021-01-05,1,3,Võlgade ümberkujundamise ja võlakaitse seadus
1000160,104012021044,104012021045,26,tyviseadus,2021-01-05,2021-02-01,2,3,Võlgade ümberkujundamise ja võlakaitse seadus
1000449,125042012004,111062013016,326,tyviseadus,2012-06-01,2013-07-01,1,4,Meediateenuste seadus
1000449,111062013016,127022022009,326,tyviseadus,2013-07-01,2022-03-09,2,4,Meediateenuste seadus
1000449,127022022009,115062022003,326,tyviseadus,2022-03-09,2022-06-28,3,4,Meediateenuste seadus
1000609,129062012056,108072014011,94,tyviseadus,2012-07-01,2014-08-01,1,10,Halduskohtumenetluse seadustik
1000609,108072014011,131122014009,94,tyviseadus,2014-08-01,2015-01-10,2,10,Halduskohtumenetluse seadustik
1000609,131122014009,113042016003,94,tyviseadus,2015-01-10,2016-04-12,3,10,Halduskohtumenetluse seadustik
1000609,113042016003,113042016004,94,tyviseadus,2016-04-12,2016-05-01,4,10,Halduskohtumenetluse seadustik
1000609,113042016004,126062017057,94,tyviseadus,2016-05-01,2017-07-06,5,10,Halduskohtumenetluse seadustik
1000609,126062017057,108122021020,94,tyviseadus,2017-07-06,2022-01-01,6,10,Halduskohtumenetluse seadustik
1000609,108122021020,114032025015,94,tyviseadus,2022-01-01,2025-01-01,7,10,Halduskohtumenetluse seadustik
1000609,114032025015,105072025007,94,tyviseadus,2025-01-01,2025-07-06,8,10,Halduskohtumenetluse seadustik
1000609,105072025007,108072025014,94,tyviseadus,2025-07-06,2025-07-18,9,10,Halduskohtumenetluse seadustik
1000658,130122014023,125052017002,298,tyviseadus,2015-01-01,2017-06-04,1,7,Keskkonnaseadustiku üldosa seadus
1000658,125052017002,126062018012,298,tyviseadus,2017-06-04,2018-07-01,2,7,Keskkonnaseadustiku üldosa seadus
1000658,126062018012,130122023011,298,tyviseadus,2018-07-01,2023-07-01,3,7,Keskkonnaseadustiku üldosa seadus
1000658,130122023011,104122024009,298,tyviseadus,2023-07-01,2025-01-01,4,7,Keskkonnaseadustiku üldosa seadus
1000658,104122024009,108072025068,298,tyviseadus,2025-01-01,2025-09-01,5,7,Keskkonnaseadustiku üldosa seadus
1000658,108072025068,107012026020,298,tyviseadus,2025-09-01,2026-01-17,6,7,Keskkonnaseadustiku üldosa seadus
