amendments,statute_id,bucket,reason,detail,last_status
1,1925/34,suspect,oracle_suspect,1976/954 eff 1977-01-01 > cutoff 1976-12-10,
1,1963/598,suspect,oracle_suspect,1993/773 eff 1993-10-01 > cutoff 1993-08-20,
1,1964/387,core,,,OK
1,1967/552,suspect,oracle_suspect,2011/479 eff 2011-05-17 > cutoff 2011-05-13,
1,1968/796,suspect,oracle_suspect,1977/1074 eff 1978-01-01 > cutoff 1977-12-30,
1,1971/272,suspect,oracle_suspect,1991/233 eff 1991-03-01 > cutoff 1991-02-08,
1,1972/572,core,,,OK
1,1974/51,suspect,oracle_suspect,1991/1424 eff 1992-01-01 > cutoff 1991-12-13,
1,1974/970,core,,,OK
1,1975/701,suspect,oracle_suspect,1985/694 eff 1986-01-01 > cutoff 1985-08-09,
1,1975/782,suspect,oracle_suspect,1989/46 eff 1989-02-01 > cutoff 1989-01-13,
1,1978/445,suspect,oracle_suspect,1990/832 eff 1991-01-01 > cutoff 1990-08-24,
1,1979/498,suspect,oracle_suspect,1995/906 eff 1995-07-01 > cutoff 1995-06-30,
1,1980/1028,suspect,oracle_suspect,1998/761 eff 1999-01-01 > cutoff 1998-10-23,
1,1982/240,suspect,oracle_suspect,1996/171 eff 1996-04-01 > cutoff 1996-03-15,
1,1982/628,suspect,oracle_suspect,1985/1142 eff 1986-01-01 > cutoff 1985-12-31,
1,1983/273,suspect,oracle_suspect,2018/328 eff 2018-07-01 > cutoff 2018-05-04,
1,1983/438,suspect,oracle_suspect,1997/530 eff 1997-06-15 > cutoff 1997-06-06,
1,1983/995,suspect,oracle_suspect,1987/1145 eff 1988-01-01 > cutoff 1987-12-23,
1,1986/762,suspect,oracle_suspect,1990/674 eff 1990-08-15 > cutoff 1990-08-03,
1,1987/1135,suspect,oracle_suspect,1996/445 eff 1996-09-01 > cutoff 1996-06-14,
1,1987/1190,core,,,OK
1,1987/1259,suspect,oracle_suspect,1988/1009 eff 1989-09-01 > cutoff 1988-12-02,
1,1987/177,suspect,oracle_suspect,1990/226 eff 1990-03-09 > cutoff 1990-03-02,
1,1987/182,suspect,oracle_suspect,1995/1756 eff 1996-01-01 > cutoff 1995-12-21,
1,1987/355,suspect,oracle_suspect,1994/17 eff 1994-07-01 > cutoff 1994-01-05,
1,1987/697,suspect,oracle_suspect,1998/589 eff 1999-01-01 > cutoff 1998-07-24,
1,1987/833,suspect,oracle_suspect,1989/75 eff 1989-02-01 > cutoff 1989-01-20,
1,1988/1145,suspect,oracle_suspect,2001/1079 eff 2002-01-01 > cutoff 2001-11-23,
1,1988/1280,suspect,oracle_suspect,1992/697 eff 1993-01-01 > cutoff 1992-08-03,
1,1988/155,suspect,oracle_suspect,1992/1401 eff 1993-01-01 > cutoff 1992-12-18,
1,1988/218,suspect,oracle_suspect,1990/216 eff 1990-03-01 > cutoff 1990-02-22,
1,1988/256,suspect,oracle_suspect,1993/174 eff 1993-02-17 > cutoff 1993-02-12,
1,1988/450,suspect,oracle_suspect,2001/1253 eff 2002-01-01 > cutoff 2001-12-12,
1,1988/496,suspect,oracle_suspect,2007/1194 eff 2008-01-01 > cutoff 2007-11-29,
1,1988/527,suspect,oracle_suspect,2000/1218 eff 2001-01-01 > cutoff 2000-12-21,
1,1988/630,suspect,oracle_suspect,2000/677 eff 2001-01-01 > cutoff 2000-07-14,
1,1988/717,suspect,oracle_suspect,1990/826 eff 1991-01-01 > cutoff 1990-08-24,
1,1988/783,suspect,oracle_suspect,1993/1153 eff 1994-01-01 > cutoff 1993-12-10,
1,1988/852,suspect,oracle_suspect,2012/532 eff 2012-10-15 > cutoff 2012-09-27,
1,1988/893,suspect,oracle_suspect,2001/1233 eff 2002-01-01 > cutoff 2001-12-12,
1,1989/382,suspect,oracle_suspect,1999/623 eff 1999-12-01 > cutoff 1999-05-21,
1,1989/383,suspect,oracle_suspect,1997/506 eff 1997-06-04 > cutoff 1997-05-30,
1,1989/573,core,,,OK
1,1989/626,suspect,oracle_suspect,2001/495 eff 2001-07-01 > cutoff 2001-06-13,
1,1990/1013,suspect,oracle_suspect,1991/1169 eff 1991-09-01 > cutoff 1991-08-22,
1,1990/1207,suspect,oracle_suspect,1992/1639 eff 1993-01-01 > cutoff 1992-12-23,
1,1990/201,core,,,OK
1,1990/27,suspect,oracle_suspect,2002/904 eff 2003-01-01 > cutoff 2002-11-08,
1,1990/318,suspect,oracle_suspect,1994/261 eff 1994-05-01 > cutoff 1994-04-07,
1,1990/611,suspect,oracle_suspect,1995/834 eff 1995-07-01 > cutoff 1995-06-02,
1,1990/883,suspect,oracle_suspect,2021/13 eff 2021-01-20 > cutoff 2021-01-14,
1,1990/891,suspect,oracle_suspect,1993/1599 eff 1994-01-01 > cutoff 1993-12-30,
1,1990/988,suspect,oracle_suspect,1994/1534 eff 1995-01-01 > cutoff 1994-12-29,
1,1991/1073,suspect,oracle_suspect,1996/1073 eff 1997-01-01 > cutoff 1996-12-20,
1,1991/1201,suspect,oracle_suspect,1995/1728 eff 1996-01-01 > cutoff 1995-12-22,
1,1991/138,suspect,oracle_suspect,2007/1193 eff 2008-01-01 > cutoff 2007-11-29,
1,1991/1437,suspect,oracle_suspect,2001/548 eff 2002-01-01 > cutoff 2001-06-13,
