work_id,work_type,year,n_amendment_operations,n_history_witnesses,operation_families,latest_version_id
act_public_1858_38,act_public,2007,5,5,substituted:5,act_public_1858_38_en_2007-09-03
act_public_1858_51,act_public,2007,2,2,substituted:2,act_public_1858_51_en_2007-09-03
act_public_1871_23,act_public,2017,2,2,repealed:2,act_public_1871_23_en_2017-06-03
act_public_1871_24,act_public,2007,17,17,__missing__:1;substituted:16,act_public_1871_24_en_2007-09-03
act_public_1872_13,act_public,2017,12,12,repealed:12,act_public_1872_13_en_2017-06-03
act_public_1872_64,act_public,2007,6,6,repealed:3;substituted:3,act_public_1872_64_en_2007-09-03
act_public_1873_21,act_public,2007,2,2,substituted:2,act_public_1873_21_en_2007-09-03
act_public_1873_49,act_public,2007,8,8,amended:1;substituted:7,act_public_1873_49_en_2007-09-03
act_public_1874_34,act_public,2007,6,6,repealed:2;substituted:4,act_public_1874_34_en_2007-09-03
act_public_1874_41,act_public,2007,2,2,substituted:2,act_public_1874_41_en_2007-09-03
act_public_1874_44,act_public,2007,2,2,substituted:2,act_public_1874_44_en_2007-09-03
act_public_1875_27,act_public,2007,2,2,repealed:2,act_public_1875_27_en_2007-09-03
act_public_1875_34,act_public,2007,12,12,__missing__:1;amended:1;repealed:9;substituted:1,act_public_1875_34_en_2007-09-03B
act_public_1875_45,act_public,2007,2,2,repealed:2,act_public_1875_45_en_2007-09-03
act_public_1875_56,act_public,2007,31,31,repealed:28;substituted:3,act_public_1875_56_en_2007-09-03
act_public_1875_62,act_public,2007,1,1,substituted:1,act_public_1875_62_en_2007-09-03
act_public_1876_10,act_public,2007,1,1,substituted:1,act_public_1876_10_en_2007-09-03
act_public_1876_23,act_public,2007,2,2,substituted:2,act_public_1876_23_en_2007-09-03
act_public_1876_24,act_public,2007,5,5,amended:2;repealed:1;substituted:2,act_public_1876_24_en_2007-09-03
act_public_1876_31,act_public,2007,3,3,amended:1;repealed:2,act_public_1876_31_en_2007-09-03
act_public_1876_57,act_public,2007,3,3,amended:1;repealed:2,act_public_1876_57_en_2007-09-03
act_public_1876_72,act_public,2007,7,7,repealed:6;substituted:1,act_public_1876_72_en_2007-09-03
act_public_1876_79,act_public,2007,7,7,__missing__:1;inserted:3;substituted:3,act_public_1876_79_en_2007-09-03
act_public_1876_86,act_public,2021,61,61,amended:2;repealed:57;substituted:2,act_public_1876_86_en_2021-10-28
act_public_1876_97,act_public,2003,60,60,repealed:60,act_public_1876_97_en_2003-07-01
act_public_1878_33,act_public,2021,2,2,__missing__:1;inserted:1,act_public_1878_33_en_2021-10-28
act_public_1879_23,act_public,2007,1,1,amended:1,act_public_1879_23_en_2007-09-03
act_public_1885_33,act_public,2018,29,29,amended:11;inserted:4;repealed:2;replaced:12,act_public_1885_33_en_2018-11-12
act_public_1886_42,act_public,2007,3,3,amended:1;substituted:2,act_public_1886_42_en_2007-09-03
act_public_1887_1,act_public,2021,1,1,inserted:1,act_public_1887_1_en_2021-10-28
act_public_1888_14,act_public,2007,1,1,repealed:1,act_public_1888_14_en_2007-09-03
act_public_1890_33,act_public,2007,8,8,repealed:2;substituted:6,act_public_1890_33_en_2007-09-03
act_public_1892_11,act_public,1993,26,26,amended:25;repealed:1,act_public_1892_11_en_1993-09-15
act_public_1893_14,act_public,2007,1,1,amended:1,act_public_1893_14_en_2007-09-03
act_public_1893_48,act_public,2007,2,2,substituted:2,act_public_1893_48_en_2007-09-03
act_public_1896_21,act_public,2007,2,2,__unclassified__:2,act_public_1896_21_en_2007-09-03
act_public_1897_28,act_public,2007,5,5,amended:1;repealed:1;substituted:3,act_public_1897_28_en_2007-09-03
act_public_1898_39,act_public,2020,45,45,amended:4;repealed:34;substituted:7,act_public_1898_39_en_2020-08-01
act_public_1901_51,act_public,2007,2,2,substituted:2,act_public_1901_51_en_2007-09-03
act_public_1901_70,act_public,2007,10,10,amended:1;repealed:9,act_public_1901_70_en_2007-09-03
act_public_1901_71,act_public,2015,43,43,__unclassified__:2;repealed:33;substituted:8,act_public_1901_71_en_2015-09-23
act_public_1904_59,act_public,2007,4,4,repealed:4,act_public_1904_59_en_2007-09-03
act_public_1905_19,act_public,2007,5,5,substituted:5,act_public_1905_19_en_2007-09-03
act_public_1905_48,act_public,2007,1,1,substituted:1,act_public_1905_48_en_2007-09-03
act_public_1905_59,act_public,2007,5,5,amended:1;repealed:1;substituted:3,act_public_1905_59_en_2007-09-03
act_public_1906_60,act_public,2007,29,29,__unclassified__:21;repealed:2;replaced:1;substituted:5,act_public_1906_60_en_2007-09-03
act_public_1907_40,act_public,2017,1,1,repealed:1,act_public_1907_40_en_2017-06-03
act_public_1907_54,act_public,2007,2,2,substituted:2,act_public_1907_54_en_2007-09-03
