statute_id,type,year,has_enacted,has_consolidated,n_effects,n_effect_feed_pages,enacted_url,current_url,enacted_source_status,oracle_source_status,enacted_source_size,oracle_source_size,enacted_source_sha256,oracle_source_sha256
asc/2020/1,asc,2020,True,True,3,3,https://www.legislation.gov.uk/asc/2020/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2020/1/data.xml,available,available,175326,252625,b64a6ead50061e3c674f032d803e9ae20c13c057d212128df57b9c9629957a44,fc28d540661a7c07ce3180410f5a319d3cedf736acc21682cf1fb0008526a8eb
asc/2020/2,asc,2020,True,True,1,1,https://www.legislation.gov.uk/asc/2020/2/enacted/data.xml,https://www.legislation.gov.uk/asc/2020/2/data.xml,available,available,60876,76165,8fb8ee6a1c9b68530505364975a0cabfaadf37bda90187c4d74fcbf895907328,87bd1e673fe976a1a84c1783ca2d8984180128e3f503e5004a14be9dcafdf536
asc/2021/1,asc,2021,True,True,15,15,https://www.legislation.gov.uk/asc/2021/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2021/1/data.xml,available,available,1218281,1659620,13869d31727ad612aae9e3669ba6e43151df3acce188c6b566d2722a3c556274,93fa1007a24bcb1dd1acb22883f7f52edb6796efdcfc1cf5cadbcea45e8b8e16
asc/2021/2,asc,2021,True,True,1,1,https://www.legislation.gov.uk/asc/2021/2/enacted/data.xml,https://www.legislation.gov.uk/asc/2021/2/data.xml,available,available,75415,19366,6cc38716c094eedc3ba8bd2da306e9f6b453349f36e230afbac20a4be2cdcf61,752974f3a9d23b6bfb053b214a01c92cab15fa5abf956368c5b6144500aee691
asc/2021/3,asc,2021,True,True,2,2,https://www.legislation.gov.uk/asc/2021/3/enacted/data.xml,https://www.legislation.gov.uk/asc/2021/3/data.xml,available,available,159815,206599,32b3a8f5f27e879bc47c21b0e70fb3cdfc3eee51879fe280e02be8c22bbe1d79,a5315d2f5eafb3f60ae91dc5540c33c146d422c3228bfadbe3657f515e5dd87a
asc/2021/4,asc,2021,True,True,10,10,https://www.legislation.gov.uk/asc/2021/4/enacted/data.xml,https://www.legislation.gov.uk/asc/2021/4/data.xml,available,available,531959,772723,9c42c21c995c34c03559ec7d38ce592a022205cf33e2ec8429ae7a8d9591af2e,0a39adc3578c087e39940f3ec864ae9cc7534d5c6b22d9ff231597705689b234
asc/2022/1,asc,2022,True,True,8,8,https://www.legislation.gov.uk/asc/2022/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2022/1/data.xml,available,available,1456372,1756732,f4391e0abba49ebc219ad998b68757e59ea0da9eaa331ace95b5dc4aa4ce8899,e37b0bb8d84281da679926cf3877b8be66979a59f4eee7758686be1798f85e1e
asc/2022/2,asc,2022,True,True,1,1,https://www.legislation.gov.uk/asc/2022/2/enacted/data.xml,https://www.legislation.gov.uk/asc/2022/2/data.xml,available,available,48895,52389,1a17543e3089ed026f50d55e9d91f6bc1077da14e0e68c67de04cd58d65b796b,f875c31a34b8c790ce4e7143bc8bf6bb1f65d0b90ab4365efb399ae34485f3dd
asc/2023/1,asc,2023,True,True,4,4,https://www.legislation.gov.uk/asc/2023/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2023/1/data.xml,available,available,258753,349033,91b095646f85a8747c634d59fdb6d17e78cf278484df9d098d2fe6c98e61f016,402f99be4164616f2672ba1d864a76050943ac7b453814ba3d4a663dbfa55f0b
asc/2023/2,asc,2023,True,True,1,1,https://www.legislation.gov.uk/asc/2023/2/enacted/data.xml,https://www.legislation.gov.uk/asc/2023/2/data.xml,available,available,117830,143192,f91e143dd76a0ac5a942a3ffff2c0a4ef88a850580dc0edaceef0909e893853a,f3210776f34eca6639451ee648624db900216cf60b8074dd3d3526cacc01f52a
asc/2023/3,asc,2023,True,True,21,21,https://www.legislation.gov.uk/asc/2023/3/enacted/data.xml,https://www.legislation.gov.uk/asc/2023/3/data.xml,available,available,1806591,2230219,018986fc386df17d0774e9e2c4e665ef654d876f03a67f151354a50b8c7b4623,3b686d4ef2fba627f9e1f7b964b76764fb7ae24e3a94a063c260afef85253e02
asc/2023/4,asc,2023,True,True,4,4,https://www.legislation.gov.uk/asc/2023/4/enacted/data.xml,https://www.legislation.gov.uk/asc/2023/4/data.xml,available,available,447389,496370,cb48d89bc41723fedfe850cc04cd86477b64925ffb65ad404c1391830ff77c21,3a5281a07868b19d635c81a9270a2a78aa5b03056f5ad7dda183bf2a89787ad4
asc/2024/1,asc,2024,True,True,1,1,https://www.legislation.gov.uk/asc/2024/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2024/1/data.xml,available,available,17095,19133,22d49352b5699f03c4b35ad828263a9b1903e3b9e9ebad11c8fd58a8f2d38ff0,f353639bda4416c14c2a5a6120c21c3a91f9c2324f1741098958246301e19c47
asc/2024/2,asc,2024,True,True,2,2,https://www.legislation.gov.uk/asc/2024/2/enacted/data.xml,https://www.legislation.gov.uk/asc/2024/2/data.xml,available,available,205827,259901,b365bedc25aa0019a169594a305a72d9160844b345be294be3cdf4ccc5ab421e,2a8d4975f2c21626872e6a75647d117f92a82ba35290006f0278551ce34225b4
asc/2024/3,asc,2024,True,True,10,10,https://www.legislation.gov.uk/asc/2024/3/enacted/data.xml,https://www.legislation.gov.uk/asc/2024/3/data.xml,available,available,773125,1005170,b011033fc106a1232495ba7aada7298d95a8e3998e3e3308c34c15689672d240,073e6650e657d509a22b23050333461f648ce4110bd5b44df86841b6caf7b3fa
asc/2024/4,asc,2024,True,True,3,3,https://www.legislation.gov.uk/asc/2024/4/enacted/data.xml,https://www.legislation.gov.uk/asc/2024/4/data.xml,available,available,261093,304548,ea71388db08cc950317adb6b54815cb337b56ff43e7c46c4bfc165a8c87b4ef4,0a99835d2a8b1136977e0d805f109913df2a5dd0212c44c5bd300d996a48e641
asc/2024/5,asc,2024,True,True,3,3,https://www.legislation.gov.uk/asc/2024/5/enacted/data.xml,https://www.legislation.gov.uk/asc/2024/5/data.xml,available,available,406708,471868,94fb75094d42cbea61b5b4e2b4ecbde5e684c23c111d323870a87a508036bee6,ceffa206080d1cb57d024f8b231b98388fff93ffce570aaffb6ed07c4e80222c
asc/2024/6,asc,2024,True,True,2,2,https://www.legislation.gov.uk/asc/2024/6/enacted/data.xml,https://www.legislation.gov.uk/asc/2024/6/data.xml,available,available,263312,285132,d19cbf7dda1d9b44db29a9387c135ec0e0515bc3d14cb7a775515d5e2d0b88d1,80c3c8b97ebb801667494ff757e7019784dbfa33b557722cddc8127d7d27a6c7
asc/2025/1,asc,2025,True,True,2,2,https://www.legislation.gov.uk/asc/2025/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2025/1/data.xml,available,available,308841,346490,7f9253cb801e8dd8053091b41af14777a69e067f3ce4dcc2c91a7109b8fd80b9,85d8c79732d91117010c086d2b9f43c6037163d3ba07f99774230e6ff31c4c9a
asc/2025/2,asc,2025,True,True,3,3,https://www.legislation.gov.uk/asc/2025/2/enacted/data.xml,https://www.legislation.gov.uk/asc/2025/2/data.xml,available,available,357669,388459,e62bd5f60002fd7c86e7820e9487c96034bffed9e6605bef34b515eef1ec12e1,f31c1ec7943967aaaab3b2bfebe5f6f08658cc43b3ac40c3fe5c07ef3173122a
asc/2025/3,asc,2025,True,True,3,3,https://www.legislation.gov.uk/asc/2025/3/enacted/data.xml,https://www.legislation.gov.uk/asc/2025/3/data.xml,available,available,276368,350692,80d486b1dd12857ae9de0d2155c1ad1cce203250235094bfdafad590a0468c0d,22ecb0dc79b1ba72759ad4f89fa0805de874276804f4555b7a482e0df7048b36
asc/2025/4,asc,2025,True,True,3,3,https://www.legislation.gov.uk/asc/2025/4/enacted/data.xml,https://www.legislation.gov.uk/asc/2025/4/data.xml,available,available,456087,504881,6f1acda20ef73084eb611e76bec7f7749925eb94e5b454a1d8ed2ac92a2a5cef,96ece0d07a551c9c1fad89b1a3da61007f9ba66de05f6802a9321236b795c96c
asc/2025/5,asc,2025,True,True,4,4,https://www.legislation.gov.uk/asc/2025/5/enacted/data.xml,https://www.legislation.gov.uk/asc/2025/5/data.xml,available,available,492532,539646,658373bc7f83f54bc005e7c0215de388307a36255885e1bee014d9eef5370659,cda0020d44f81c0688b142856e4c0c2f543e5a7f5c693720f24c78886236d7db
asc/2026/1,asc,2026,True,True,1,1,https://www.legislation.gov.uk/asc/2026/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2026/1/data.xml,available,available,12740,14438,ada32d4542b1a6615746fd062b39ca900dc141b6f73bf296e621e458171b71c9,aa4f58d32219a9653eafa073e778dd7e0008ae8e0ebff23fa8aedf3b9356f539
asc/2026/2,asc,2026,True,True,2,2,https://www.legislation.gov.uk/asc/2026/2/enacted/data.xml,https://www.legislation.gov.uk/asc/2026/2/data.xml,available,available,258681,279886,737068355a442b179614d2ba0988359d3e948cad0b34580738177f2b8cf2d8f0,1fc968b6ec39c23a3bffc6047b6870406cedd0dbcc591c5991eccc02305b4a24
asp/1999/1,asp,1999,True,True,1,1,https://www.legislation.gov.uk/asp/1999/1/enacted/data.xml,https://www.legislation.gov.uk/asp/1999/1/data.xml,available,available,24159,10373,82150ec1b640baa77ddde9f32ac355d70d27a5e90df2ef5ec30aa396644f16e5,5b1d07a3ed111a427a0cacd68d70699f79441a81afa53835f92471168bbc2248
