statute_id,type,year,source_locator_form,metadata_statute_id,has_enacted,has_consolidated,n_effects,n_effect_feed_pages,enacted_url,current_url,enacted_source_status,oracle_source_status,enacted_source_size,oracle_source_size,enacted_source_sha256,oracle_source_sha256
ukpga/1988/1,ukpga,1988,numeric,ukpga/1988/1,True,True,274,274,https://www.legislation.gov.uk/ukpga/1988/1/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1988/1/data.xml,available,available,6321102,10398604,6957d91ca27abac1140df73d38fd60832c61df9fd179a273029c9c1b04c34204,13695fdbe947e8c1a9bd4660036a14f3faa7bcba19f509e2e84ba6b87e750c95
ukpga/2000/8,ukpga,2000,numeric,ukpga/2000/8,True,True,162,162,https://www.legislation.gov.uk/ukpga/2000/8/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2000/8/data.xml,available,available,2818186,21055537,2ded59140f652d69f60a2d0e7820283bcb066b1c9645d12dc8e68b3a70111853,51fcb9a79313d602d99ef7257a6ce3be98439cad1e6f5566e9138fe65e4e3fd6
ukpga/1992/12,ukpga,1992,numeric,ukpga/1992/12,True,True,95,95,https://www.legislation.gov.uk/ukpga/1992/12/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1992/12/data.xml,available,available,2333304,13357676,97ca4e868978752f5ba6b178cdd50166ff08ee31ffe1b372141c9a7497cceabe,682da206d8dbe3ec2992b99c64ea9c292f6018b745cd57ee3edf84f757015ece
ukpga/1970/9,ukpga,1970,numeric,ukpga/1970/9,True,True,67,67,https://www.legislation.gov.uk/ukpga/1970/9/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1970/9/data.xml,available,available,935166,5686424,65d610d5180fc3a7c5bf3a2eb77f767ee3a5172d09abda465f92c6cb8c676799,cbfca733a557513789d2d0136d18516ad5592c258c651eac8126b0553f63709f
ukpga/2020/17,ukpga,2020,numeric,ukpga/2020/17,True,True,55,55,https://www.legislation.gov.uk/ukpga/2020/17/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2020/17/data.xml,available,available,5689838,8323546,1e8847813000ab03d175529dd93a75b5a8c92391aac9ec78a4ee15cf231d4b78,265ccd83bc850eac312f9092bac2d74d047b086540886f008b1a6d0b1d6b9573
ukpga/2018/12,ukpga,2018,numeric,ukpga/2018/12,True,True,46,46,https://www.legislation.gov.uk/ukpga/2018/12/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2018/12/data.xml,available,available,2695979,5948346,b9cf50e24d7488eb2fbf5696fb3a9f70ece1f6f14c68e33026ef06ab856d0d5b,8c53507db9a155e33a7e5616d50772762db479ec4e4a79022bb024840e7f65e2
ukpga/1961/33,ukpga,1961,numeric,ukpga/1961/33,True,True,32,32,https://www.legislation.gov.uk/ukpga/1961/33/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1961/33/data.xml,available,available,325200,1740461,896eed8493d50ae9813ae0469ffbf21991465138e3b89c374fc44a9a1a7635d0,ac0e10a79ab6de586a30078865e749f7cd510100018f05f542e45b66e0376b9c
ukpga/2000/17,ukpga,2000,numeric,ukpga/2000/17,True,True,25,25,https://www.legislation.gov.uk/ukpga/2000/17/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2000/17/data.xml,available,available,4463164,5466907,8b0fdc36f73f5880d55bd711380f9ee410a8d851f2eba725cfc214ef50f4064c,57012bd745581ff06028aa525b723cd309600fa9740a2bb100c4002367052a96
ukpga/1992/52,ukpga,1992,numeric,ukpga/1992/52,True,True,25,25,https://www.legislation.gov.uk/ukpga/1992/52/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1992/52/data.xml,available,available,1626530,5421353,906e1d8b2474d308573ccca9bedf9abbbf82ac1858de04684d841817e592ed8e,1ff84c6c29feaa47958d862427a6b0cfbfac2857bac096396c2fbebc8f8f56e2
ukpga/2010/15,ukpga,2010,numeric,ukpga/2010/15,True,True,25,25,https://www.legislation.gov.uk/ukpga/2010/15/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2010/15/data.xml,available,available,2044958,3556271,5d6fcd9bc3d80dba3bf0b2303c57bfdb4da6c7f9b416efe462d1ee5ab56805ed,1cda8e402a544c64fdfda7fcbe48919a2efec67f3c4809ba74ba526603ac3903
ukpga/1978/29,ukpga,1978,numeric,ukpga/1978/29,True,True,25,25,https://www.legislation.gov.uk/ukpga/1978/29/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1978/29/data.xml,available,available,814528,3969379,074079e7854ae1e85e6c0ba360301d81bd40b1ee861d2c9bcc215905f3146411,e3583f799e55ae94d010966a5e074ad171ab0c2277c0843ea079b75da00b1bff
ukpga/2023/55,ukpga,2023,numeric,ukpga/2023/55,True,True,24,24,https://www.legislation.gov.uk/ukpga/2023/55/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2023/55/data.xml,available,available,3313460,4121033,e259856efb8ebe8e26b9705d7a8752cd4490eaabbcb2f489468f77949cf3a4c6,9cce1c0a6d5a93beca57852d44e7ff25984f0ace4cba3f6f5e01411f65756240
ukpga/1907/51,ukpga,1907,numeric,ukpga/1907/51,True,True,23,23,https://www.legislation.gov.uk/ukpga/1907/51/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1907/51/data.xml,available,available,25817,4088589,04fb95e24060b9239e95e276b4ac6944ac0f454696727916a0c24b19bc03c053,fccfa403ffb76b1e6f99471e0b5177d75314e40ea97adee1bfb3b0c410431b51
ukpga/1985/66,ukpga,1985,numeric,ukpga/1985/66,True,True,23,23,https://www.legislation.gov.uk/ukpga/1985/66/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1985/66/data.xml,available,available,690180,255933,ed0bf36a29204af06f20fa817b4f4b3a561c069d9ce0c57d0215835a31bb2fa7,d6b64c24daed891c477c7e4c37d8635d2a240d62c21aa001252a8911b6be82c6
ukpga/1968/67,ukpga,1968,numeric,ukpga/1968/67,True,True,22,22,https://www.legislation.gov.uk/ukpga/1968/67/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1968/67/data.xml,available,available,874622,1661516,55d9ec1ece256bddc9cb9b2edc8ec93483b3f95a832bce27007165cb3353a7a8,81962d60f7dd6e219746e0d7979e2b74705a4cea83a9799787a7ab0143001dce
asc/2023/3,asc,2023,numeric,asc/2023/3,True,True,21,21,https://www.legislation.gov.uk/asc/2023/3/enacted/data.xml,https://www.legislation.gov.uk/asc/2023/3/data.xml,available,available,1806591,2230665,018986fc386df17d0774e9e2c4e665ef654d876f03a67f151354a50b8c7b4623,6f912f65cfe604e8498ba8aa62ded3640e911c5d804332e4621a431986845426
asp/2003/13,asp,2003,numeric,asp/2003/13,True,True,19,19,https://www.legislation.gov.uk/asp/2003/13/enacted/data.xml,https://www.legislation.gov.uk/asp/2003/13/data.xml,available,available,1936488,3396142,4cc8baa5144c5440ecee42c940aaa90d230f0f41eebfd5cf9f12af0f564f76e3,9a2b4c0df27a95ded817451c5fccfb245df3facb10d2f9669547d02059bbbdb1
nia/2011/25,nia,2011,numeric,nia/2011/25,True,True,19,19,https://www.legislation.gov.uk/nia/2011/25/enacted/data.xml,https://www.legislation.gov.uk/nia/2011/25/data.xml,available,available,1470587,2432185,04471330dd5f0307d0f6ff3da933d9bab4d4bd352532920497f6be107a5e9857,f1d198cf2abd15d766df3b093945afd13ab2d764d04bb7e26e4c361835718b98
ukpga/1845/20,ukpga,1845,numeric,ukpga/1845/20,True,True,18,18,https://www.legislation.gov.uk/ukpga/1845/20/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1845/20/data.xml,available,available,230651,1563570,343913d6866bbd03f8ae00e0afd08235221494f428641a4e101aca1f3591c4c4,7222febe9757000bf4c9bb325421967b5f260e243a5788de31585250d470388b
asp/2010/8,asp,2010,numeric,asp/2010/8,True,True,17,17,https://www.legislation.gov.uk/asp/2010/8/enacted/data.xml,https://www.legislation.gov.uk/asp/2010/8/data.xml,available,available,1118518,2146530,ef001ebecd7f75a14def886b20d09477807e3c53c46403ae8a03b3cca0ea8f7e,8834e27566b30c5357b0483bf37d1910b40e6296710dfba6c754648d5889ad9d
