statute_id,type,year,has_enacted,has_consolidated,n_effects,n_effect_feed_pages,enacted_url,current_url,enacted_source_status,oracle_source_status,enacted_source_size,oracle_source_size,enacted_source_sha256,oracle_source_sha256
asc/2023/3,asc,2023,True,True,21,21,https://www.legislation.gov.uk/asc/2023/3/enacted/data.xml,https://www.legislation.gov.uk/asc/2023/3/data.xml,available,available,1806591,2230219,018986fc386df17d0774e9e2c4e665ef654d876f03a67f151354a50b8c7b4623,3b686d4ef2fba627f9e1f7b964b76764fb7ae24e3a94a063c260afef85253e02
asp/2006/4,asp,2006,True,True,5,5,https://www.legislation.gov.uk/asp/2006/4/enacted/data.xml,https://www.legislation.gov.uk/asp/2006/4/data.xml,available,available,335824,835241,9c1c2176bf963479154daf6f59ef9c84934bea5de8ffa51f429171ffd5875719,7ea0a6813e26bc55e7d38f819bb48f593ef86bc06a7a8e85dfd9f409e6dc2a54
asp/2003/13,asp,2003,True,True,19,19,https://www.legislation.gov.uk/asp/2003/13/enacted/data.xml,https://www.legislation.gov.uk/asp/2003/13/data.xml,available,available,1936488,3396142,4cc8baa5144c5440ecee42c940aaa90d230f0f41eebfd5cf9f12af0f564f76e3,26abe74fedf7a0d0f7e126580ae7ef6eed704bff6bcf919d7d04fe6bbd34c475
asp/2016/18,asp,2016,True,True,5,5,https://www.legislation.gov.uk/asp/2016/18/enacted/data.xml,https://www.legislation.gov.uk/asp/2016/18/data.xml,available,available,959010,1152922,7e0d6ff42fdb97e6f92901661171b80db94b8644569798bcf942bfbc0940c089,226b9dfb9fca347a4cad3d729f3d2e66cc11dc4bbfb4f57cfc41262b7e1a4314
asp/2010/8,asp,2010,True,True,17,17,https://www.legislation.gov.uk/asp/2010/8/enacted/data.xml,https://www.legislation.gov.uk/asp/2010/8/data.xml,available,available,1118518,2126868,ef001ebecd7f75a14def886b20d09477807e3c53c46403ae8a03b3cca0ea8f7e,083e74cb7faf99f920da0e7846ce0008a84920d5a930caf28928e0fb7c89349e
asp/2025/15,asp,2025,True,True,5,5,https://www.legislation.gov.uk/asp/2025/15/enacted/data.xml,https://www.legislation.gov.uk/asp/2025/15/data.xml,available,available,1053793,1119395,eab2f438b2283d7d786d234c9a86b761b941a5623fdadf8af491174ba64930c5,448d758c630fc89a19ba1bd1aeaaf07eeeeb459a779213379e9dc3bad07a1800
asp/2020/13,asp,2020,True,True,9,9,https://www.legislation.gov.uk/asp/2020/13/enacted/data.xml,https://www.legislation.gov.uk/asp/2020/13/data.xml,available,available,805500,1412091,aab1e668614b6c120fd10eaa805cba5a6306d4f6ac067b0bf16620bab9d561c9,1a82ad6d54e2c776d0602fc07a6f86204a3b0e9f7569296392d458ccc8e6acfe
nia/2022/18,nia,2022,True,True,6,6,https://www.legislation.gov.uk/nia/2022/18/enacted/data.xml,https://www.legislation.gov.uk/nia/2022/18/data.xml,available,available,917930,1031928,5139003be34e9040d88e26d953511dc2e418f9d0240faeb2c3a310291d7861fa,01fbd7edc9511f7c7236efe30adfe707b137a63312203e244d04806cad33e5db
ukpga/1933/12,ukpga,1933,True,True,7,7,https://www.legislation.gov.uk/ukpga/1933/12/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1933/12/data.xml,available,available,99567,1119732,4c016102d3490253efb169bf7b12d4affea63a9031ddf608bb9e5423a9431e3a,1a60a33790098a94ec1e7f7712369b31921cb69a8d1b1d1fd9686c04843f8d2e
ukpga/1949/88,ukpga,1949,True,True,5,5,https://www.legislation.gov.uk/ukpga/1949/88/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1949/88/data.xml,available,available,198719,1159664,7c2f8c58d600b560b0023ce1b3dfcb18db7f2c961735fe30183953553c45a06e,6843fbd6005f7f33a7378b02a04a17f6b5a281aee525f7be8112a846836558df
ukpga/1962/46,ukpga,1962,True,True,5,5,https://www.legislation.gov.uk/ukpga/1962/46/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1962/46/data.xml,available,available,983488,1056952,2390728842daa1903109a31a49ce1abd2377f709ce5c782febbc19a90e898b10,4ce0fd7dfac669cc8fab432fcb927d6ea492b9f7e9d4fd02b737eda42d8a4efd
ukpga/1970/9,ukpga,1970,True,True,66,66,https://www.legislation.gov.uk/ukpga/1970/9/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1970/9/data.xml,available,available,935166,5698368,65d610d5180fc3a7c5bf3a2eb77f767ee3a5172d09abda465f92c6cb8c676799,f8f098b33cadd82cb94066155e56d8a326dd25d9f38c9758aafa8e0f14f7b63f
ukpga/1978/29,ukpga,1978,True,True,25,25,https://www.legislation.gov.uk/ukpga/1978/29/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1978/29/data.xml,available,available,814528,3959907,074079e7854ae1e85e6c0ba360301d81bd40b1ee861d2c9bcc215905f3146411,d66fcc5c2aa32bbdcaf433fe92283759a53daf57e7fe114b44ac21ee819ca396
ukpga/1987/22,ukpga,1987,True,True,5,5,https://www.legislation.gov.uk/ukpga/1987/22/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1987/22/data.xml,available,available,699931,1315684,244e342a91dbb71fcc714fcaa6512d80ecadf887ed5edc0be3726486b6173653,41fc2134b39ab0f5d1caea43b72fe6d8b47d7e7446c1c29b825fc866ba8b1530
