statute_id,type,year,has_enacted,has_consolidated,n_effects,n_effect_feed_pages,enacted_url,current_url,enacted_source_status,oracle_source_status,enacted_source_size,oracle_source_size,enacted_source_sha256,oracle_source_sha256
asc/2023/1,asc,2023,True,True,4,4,https://www.legislation.gov.uk/asc/2023/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2023/1/data.xml,available,available,258753,349033,91b095646f85a8747c634d59fdb6d17e78cf278484df9d098d2fe6c98e61f016,402f99be4164616f2672ba1d864a76050943ac7b453814ba3d4a663dbfa55f0b
asc/2021/1,asc,2021,True,True,15,15,https://www.legislation.gov.uk/asc/2021/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2021/1/data.xml,available,available,1218281,1659620,13869d31727ad612aae9e3669ba6e43151df3acce188c6b566d2722a3c556274,93fa1007a24bcb1dd1acb22883f7f52edb6796efdcfc1cf5cadbcea45e8b8e16
asp/1999/1,asp,1999,True,True,1,1,https://www.legislation.gov.uk/asp/1999/1/enacted/data.xml,https://www.legislation.gov.uk/asp/1999/1/data.xml,available,available,24159,10373,82150ec1b640baa77ddde9f32ac355d70d27a5e90df2ef5ec30aa396644f16e5,5b1d07a3ed111a427a0cacd68d70699f79441a81afa53835f92471168bbc2248
asp/2004/6,asp,2004,True,True,5,5,https://www.legislation.gov.uk/asp/2004/6/enacted/data.xml,https://www.legislation.gov.uk/asp/2004/6/data.xml,available,available,466198,701520,2c9707bcfd4ddacdf9fcf475ea29c1cd56b9ecdec0969b0556c7c9605d070b81,4d30512914fbc7c5202c5a2afa0bf178cec335ed35166a662d2932050b893a1c
asp/2003/13,asp,2003,True,True,19,19,https://www.legislation.gov.uk/asp/2003/13/enacted/data.xml,https://www.legislation.gov.uk/asp/2003/13/data.xml,available,available,1936488,3396142,4cc8baa5144c5440ecee42c940aaa90d230f0f41eebfd5cf9f12af0f564f76e3,26abe74fedf7a0d0f7e126580ae7ef6eed704bff6bcf919d7d04fe6bbd34c475
asp/2014/10,asp,2014,True,True,5,5,https://www.legislation.gov.uk/asp/2014/10/enacted/data.xml,https://www.legislation.gov.uk/asp/2014/10/data.xml,available,available,481588,721034,b7b6eaebddcf90baa8849821edb1fdd28a296b2a57dd1ae67b559276139f6850,ac1019374bca259395d68a6ed73ec3ef0021d0455b940a27abd26852c097ffe4
asp/2010/8,asp,2010,True,True,17,17,https://www.legislation.gov.uk/asp/2010/8/enacted/data.xml,https://www.legislation.gov.uk/asp/2010/8/data.xml,available,available,1118518,2126868,ef001ebecd7f75a14def886b20d09477807e3c53c46403ae8a03b3cca0ea8f7e,083e74cb7faf99f920da0e7846ce0008a84920d5a930caf28928e0fb7c89349e
asp/2025/12,asp,2025,True,True,5,5,https://www.legislation.gov.uk/asp/2025/12/enacted/data.xml,https://www.legislation.gov.uk/asp/2025/12/data.xml,available,available,839080,906399,b9af915c6f6a6fb3c404ff65e0f9efd5b96bd33f1c495e5d06dda916f811bef8,a3705e3c5ee9abdf51df77d2ba632bdb9326b8cc7a784cd861132427f370d3fd
asp/2020/13,asp,2020,True,True,9,9,https://www.legislation.gov.uk/asp/2020/13/enacted/data.xml,https://www.legislation.gov.uk/asp/2020/13/data.xml,available,available,805500,1412091,aab1e668614b6c120fd10eaa805cba5a6306d4f6ac067b0bf16620bab9d561c9,1a82ad6d54e2c776d0602fc07a6f86204a3b0e9f7569296392d458ccc8e6acfe
nia/2016/22,nia,2016,True,True,3,3,https://www.legislation.gov.uk/nia/2016/22/enacted/data.xml,https://www.legislation.gov.uk/nia/2016/22/data.xml,available,available,564271,707053,a421368febbfd84c69f090e26e1dcb26d1dedfaf0431dee4de55b7e67c3dae8d,a0742eee5cc60cea97e8d96f758c1b3d9eadf2da51b45e02575244de65b16eb8
nia/2021/7,nia,2021,True,True,3,3,https://www.legislation.gov.uk/nia/2021/7/enacted/data.xml,https://www.legislation.gov.uk/nia/2021/7/data.xml,available,available,258436,366352,57d8a55d8f4c46f27cfd49b10f615900dc86a9a19902e732cec4a2626fe5056c,fce548c59b99a83ac4e63bdc55e0db5db4dca6f16416c51179cda71aad3ad709
nia/2022/18,nia,2022,True,True,6,6,https://www.legislation.gov.uk/nia/2022/18/enacted/data.xml,https://www.legislation.gov.uk/nia/2022/18/data.xml,available,available,917930,1031928,5139003be34e9040d88e26d953511dc2e418f9d0240faeb2c3a310291d7861fa,01fbd7edc9511f7c7236efe30adfe707b137a63312203e244d04806cad33e5db
ukpga/1808/142,ukpga,1808,True,True,1,1,https://www.legislation.gov.uk/ukpga/1808/142/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1808/142/data.xml,available,available,1704593,25662,468d55a38dbff128e96f2cd7d356cedb0b843cd88db70ddecd01d39088716c35,84093c6dd57eecb8d8202d62521b0649978bf1ee7ae3ffcca1200eabc5968419
ukpga/1812/161,ukpga,1812,True,True,1,1,https://www.legislation.gov.uk/ukpga/1812/161/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1812/161/data.xml,available,available,93129,29335,4c6a78ebfe742c807b2ff6141d72c6176149a79af40b335a0f917415d0cc6ac0,fa0bc51d518d7da575692be48d5143a125040a96028e0e9308f6afcebbb2076e
ukpga/1824/113,ukpga,1824,True,True,1,1,https://www.legislation.gov.uk/ukpga/1824/113/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1824/113/data.xml,available,available,322706,49920,ad62582d5e55a0b6090e610c72eb9376b4e39829d0962ffd609d1650af834ef0,8636e3588e058c7b6a7ccdadbbe119e55d45887b98f13ec00f21e74c7295bc97
ukpga/1835/50,ukpga,1835,True,True,1,1,https://www.legislation.gov.uk/ukpga/1835/50/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1835/50/data.xml,available,available,217200,76860,adc6814d27d0e9d5f2dfd8b538b312151bb1debe82633872a189b19f59591351,cfd701c50e7ae9948addc11ba1986fa91d1fe3949e11a43c06f7db93af7a0afa
ukpga/1845/19,ukpga,1845,True,True,3,3,https://www.legislation.gov.uk/ukpga/1845/19/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1845/19/data.xml,available,available,5521,526411,7795dea089682d60616311bd86d004d6613c1a201f42b4a6cec35e7f7873b95a,aeba1a17a00ec4b7379dac49cb5a9469b887ef1858642186861eba8fe0f73b21
ukpga/1855/120,ukpga,1855,True,True,1,1,https://www.legislation.gov.uk/ukpga/1855/120/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1855/120/data.xml,available,available,446844,17405,cd3a5b35ef671d7ea156cab72e461ff49f9bdfda2df41f02f6bfdacbbb9aef74,414518aa9b9b7619fa91fc70a5e8bb8ae2d4c5a3fce8170ba3c69730c053b4a8
ukpga/1863/92,ukpga,1863,True,True,2,2,https://www.legislation.gov.uk/ukpga/1863/92/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1863/92/data.xml,available,available,80775,150269,b21bc834f9881e23c8d3d67acaef10155ed075e872a2c91491df0b2a291284c3,e3893114408b8c45fea680f346ae4cc6ea999cf27044e04e7ec225a7b10a2e25
ukpga/1874/94,ukpga,1874,True,True,2,2,https://www.legislation.gov.uk/ukpga/1874/94/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1874/94/data.xml,available,available,130372,227636,d5275861e69b7c05a2de0aba8f3e4142df1b1ad56e8ddb05b5a97b332eda769a,064158ade8bc552f015cc0e966e3024a871e6631421c352045f325778bb04fd9
