statute_id,type,year,has_enacted,has_consolidated,n_effects,n_effect_feed_pages,enacted_url,current_url,enacted_source_status,oracle_source_status,enacted_source_size,oracle_source_size,enacted_source_sha256,oracle_source_sha256
asc/2020/1,asc,2020,True,True,3,3,https://www.legislation.gov.uk/asc/2020/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2020/1/data.xml,available,available,175326,252625,b64a6ead50061e3c674f032d803e9ae20c13c057d212128df57b9c9629957a44,fc28d540661a7c07ce3180410f5a319d3cedf736acc21682cf1fb0008526a8eb
asc/2021/1,asc,2021,True,True,15,15,https://www.legislation.gov.uk/asc/2021/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2021/1/data.xml,available,available,1218281,1659620,13869d31727ad612aae9e3669ba6e43151df3acce188c6b566d2722a3c556274,93fa1007a24bcb1dd1acb22883f7f52edb6796efdcfc1cf5cadbcea45e8b8e16
asp/1999/1,asp,1999,True,True,1,1,https://www.legislation.gov.uk/asp/1999/1/enacted/data.xml,https://www.legislation.gov.uk/asp/1999/1/data.xml,available,available,24159,10373,82150ec1b640baa77ddde9f32ac355d70d27a5e90df2ef5ec30aa396644f16e5,5b1d07a3ed111a427a0cacd68d70699f79441a81afa53835f92471168bbc2248
asp/2000/1,asp,2000,True,True,2,2,https://www.legislation.gov.uk/asp/2000/1/enacted/data.xml,https://www.legislation.gov.uk/asp/2000/1/data.xml,available,available,222310,382648,4acfe606682f93445620281e394853a08f48f3ba3da1babf628e53820fdc20f0,99f3285732536cecebba9706775313728027e8fefaf58a1ba03d945dc5209121
asp/2000/4,asp,2000,True,True,6,6,https://www.legislation.gov.uk/asp/2000/4/enacted/data.xml,https://www.legislation.gov.uk/asp/2000/4/data.xml,available,available,570133,1111894,936b92d0fb119a5b36bd08fafbdb1a38b59ef4f8a6a84320d6c0c00272e97cc2,e05efcfe47e4630bf02be3957724c273eebcdffa3696441538c205a717de8958
asp/2010/1,asp,2010,True,True,4,4,https://www.legislation.gov.uk/asp/2010/1/enacted/data.xml,https://www.legislation.gov.uk/asp/2010/1/data.xml,available,available,351979,488787,bd3415028d812eae9b9ee2fe5ef5695b66104d94ea25c06d86ac30c0048a95b4,341714131456b6e40f8eea56722f061bc2148ccc7f472d28a8dc9a0fbd7cd6c7
asp/2010/13,asp,2010,True,True,11,11,https://www.legislation.gov.uk/asp/2010/13/enacted/data.xml,https://www.legislation.gov.uk/asp/2010/13/data.xml,available,available,1505530,2161996,2dc755d58511091991dad2438647eb9e8f793193c255e1aa1df66d4eed728e17,95cc28dd90aae0a8dd47284ebcfae2352e78e0d0611ca27a86c5c00932874ac8
asp/2020/1,asp,2020,True,True,1,1,https://www.legislation.gov.uk/asp/2020/1/enacted/data.xml,https://www.legislation.gov.uk/asp/2020/1/data.xml,available,available,110271,29016,e6e520703ad41ab596b7fa6d41b2bd05f258b48755e6f92a4798d97df0ea55a7,cc6c64b53215c72ccd1053dd83ac1ac36ed17390ba7a8d7f9337c464994e743b
asp/2020/13,asp,2020,True,True,9,9,https://www.legislation.gov.uk/asp/2020/13/enacted/data.xml,https://www.legislation.gov.uk/asp/2020/13/data.xml,available,available,805500,1412091,aab1e668614b6c120fd10eaa805cba5a6306d4f6ac067b0bf16620bab9d561c9,1a82ad6d54e2c776d0602fc07a6f86204a3b0e9f7569296392d458ccc8e6acfe
nia/2000/1,nia,2000,True,True,1,1,https://www.legislation.gov.uk/nia/2000/1/enacted/data.xml,https://www.legislation.gov.uk/nia/2000/1/data.xml,available,available,10954,14057,db430f5c75a3b3f2fde13803d33737d2828449d3bc264daf7348c65b53a505d9,12f7c21f923b9580f4d8d0177caa087a39b42ba7e8ccecc2da7abfbb436c7dbe
nia/2007/2,nia,2007,True,True,8,8,https://www.legislation.gov.uk/nia/2007/2/enacted/data.xml,https://www.legislation.gov.uk/nia/2007/2/data.xml,available,available,592530,1606980,c25f239adf19164f0355e610e8bf9ded0e6460da632d9b8ef1772b7ad13185c1,c95750538e96af5828ba35c182c3937e51f4ee5cc0675709b1c1bdf7278520f2
nia/2010/1,nia,2010,True,True,1,1,https://www.legislation.gov.uk/nia/2010/1/enacted/data.xml,https://www.legislation.gov.uk/nia/2010/1/data.xml,available,available,83121,85277,7d7f3eeb7ae05442dc165e2dfe03a11ff24c3c6f7a2f0578d340b912211d6a7b,9d6741cd7cae53188764bbec4f948faadf8efe115db53a95ce383c4ca0f1360c
nia/2010/2,nia,2010,True,True,7,7,https://www.legislation.gov.uk/nia/2010/2/enacted/data.xml,https://www.legislation.gov.uk/nia/2010/2/data.xml,available,available,354572,788712,49a3580346be6fc9475f9d9d1dee9f73aa7d13d41dc3695cedce5d7c4baacddf,e2e62454ff00cae77921336378c81b1d7be7983712a516a153646ee0515ced7a
nia/2020/1,nia,2020,True,True,1,1,https://www.legislation.gov.uk/nia/2020/1/enacted/data.xml,https://www.legislation.gov.uk/nia/2020/1/data.xml,available,available,158984,158984,d3b7adbc9caa556fc2d3889f20dc183df4206fea91a32e489c89e7e0098d7f49,d3b7adbc9caa556fc2d3889f20dc183df4206fea91a32e489c89e7e0098d7f49
nia/2021/6,nia,2021,True,True,6,6,https://www.legislation.gov.uk/nia/2021/6/enacted/data.xml,https://www.legislation.gov.uk/nia/2021/6/data.xml,available,available,316444,579616,3b6f9c63a55a8915fbab08f484f3fe925007253a6074c68718a478185819b514,93292fa361806ee11be4a5dd4eb8b46f6e178b8aec677d60c3e2056e39c01510
ukpga/1990/10,ukpga,1990,True,True,4,4,https://www.legislation.gov.uk/ukpga/1990/10/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1990/10/data.xml,available,available,341126,702974,73527c74b067c712534ba6453acb327bc62933e2fc6987c8a45ee6acfbf21fed,c493e5aa9fcbde528f3a6d52851977c8195d4a24daeae6192c0abc54cc780f7c
ukpga/1990/16,ukpga,1990,True,True,80,80,https://www.legislation.gov.uk/ukpga/1990/16/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1990/16/data.xml,available,available,470330,4260930,c76ab883b846a5fb1658aa99c83a30d7f71f795134f3a33efc7a9240718c6f8f,d23eecfe5f2c8672294a50271b389b132cf6be6d30c076087e2f6308cafedba1
ukpga/1990/1,ukpga,1990,True,True,11,11,https://www.legislation.gov.uk/ukpga/1990/1/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1990/1/data.xml,available,available,1011149,168439,f033abf0f9d12e33cd59f9a5f403746ae9a7ed6ca16808eb07959ec56e168f94,6d09248436e701734b350fe1b2c02bca4257ccd1338aaa32049647763133d23e
ukpga/2000/1,ukpga,2000,True,True,1,1,https://www.legislation.gov.uk/ukpga/2000/1/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2000/1/data.xml,available,available,72140,111006,788beae84c2f11a7f430ccb25d82b1711de9bd97ff97f63df1e72c6cda1af816,47fab8783e5b0b3ab5c4d641a4309c583edf2e5549b3fa95ef26f3ff7b8f4460
ukpga/2000/22,ukpga,2000,True,True,27,27,https://www.legislation.gov.uk/ukpga/2000/22/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2000/22/data.xml,available,available,879159,3389282,31558c905e5cc5e35c22f9e713d0d1bf8fc39b5e00b0f18228e34e5d30ff7adb,1f1672e67376b2d29cf7528f0403d3de661cf61e898995c53a0361a5939f3205
ukpga/2000/11,ukpga,2000,True,True,23,23,https://www.legislation.gov.uk/ukpga/2000/11/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2000/11/data.xml,available,available,1540554,4124501,292fd1801b3761a1766f48192ce4f0de7c4050fc474997f0df22e2ec0cf307d3,92ab9631e0c9b5537434c031882a53769b5d5a7c68bc7777e5c97d845adb3d51
ukpga/2010/1,ukpga,2010,True,True,1,1,https://www.legislation.gov.uk/ukpga/2010/1/enacted/data.xml,https://www.legislation.gov.uk/ukpga/2010/1/data.xml,available,available,19019,20240,dd500ec1664f27196ff5747dc49b83fe3f5c5277f457f8f17019df5e2b49ebdd,14c7a8aa395caee58bdd7ad1c9676da8c94852f595870cf8e19dcb03e6789761
