statute_id,type,year,has_enacted,has_consolidated,n_effects,n_effect_feed_pages,enacted_url,current_url,enacted_source_status,oracle_source_status,enacted_source_size,oracle_source_size,enacted_source_sha256,oracle_source_sha256
asc/2020/1,asc,2020,True,True,3,3,https://www.legislation.gov.uk/asc/2020/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2020/1/data.xml,available,available,175326,252625,b64a6ead50061e3c674f032d803e9ae20c13c057d212128df57b9c9629957a44,fc28d540661a7c07ce3180410f5a319d3cedf736acc21682cf1fb0008526a8eb
asc/2021/1,asc,2021,True,True,15,15,https://www.legislation.gov.uk/asc/2021/1/enacted/data.xml,https://www.legislation.gov.uk/asc/2021/1/data.xml,available,available,1218281,1659620,13869d31727ad612aae9e3669ba6e43151df3acce188c6b566d2722a3c556274,93fa1007a24bcb1dd1acb22883f7f52edb6796efdcfc1cf5cadbcea45e8b8e16
asp/1999/1,asp,1999,True,True,1,1,https://www.legislation.gov.uk/asp/1999/1/enacted/data.xml,https://www.legislation.gov.uk/asp/1999/1/data.xml,available,available,24159,10373,82150ec1b640baa77ddde9f32ac355d70d27a5e90df2ef5ec30aa396644f16e5,5b1d07a3ed111a427a0cacd68d70699f79441a81afa53835f92471168bbc2248
asp/2000/1,asp,2000,True,True,2,2,https://www.legislation.gov.uk/asp/2000/1/enacted/data.xml,https://www.legislation.gov.uk/asp/2000/1/data.xml,available,available,222310,382648,4acfe606682f93445620281e394853a08f48f3ba3da1babf628e53820fdc20f0,99f3285732536cecebba9706775313728027e8fefaf58a1ba03d945dc5209121
asp/2000/4,asp,2000,True,True,6,6,https://www.legislation.gov.uk/asp/2000/4/enacted/data.xml,https://www.legislation.gov.uk/asp/2000/4/data.xml,available,available,570133,1111894,936b92d0fb119a5b36bd08fafbdb1a38b59ef4f8a6a84320d6c0c00272e97cc2,e05efcfe47e4630bf02be3957724c273eebcdffa3696441538c205a717de8958
asp/2010/1,asp,2010,True,True,4,4,https://www.legislation.gov.uk/asp/2010/1/enacted/data.xml,https://www.legislation.gov.uk/asp/2010/1/data.xml,available,available,351979,488787,bd3415028d812eae9b9ee2fe5ef5695b66104d94ea25c06d86ac30c0048a95b4,341714131456b6e40f8eea56722f061bc2148ccc7f472d28a8dc9a0fbd7cd6c7
asp/2010/13,asp,2010,True,True,11,11,https://www.legislation.gov.uk/asp/2010/13/enacted/data.xml,https://www.legislation.gov.uk/asp/2010/13/data.xml,available,available,1505530,2161996,2dc755d58511091991dad2438647eb9e8f793193c255e1aa1df66d4eed728e17,95cc28dd90aae0a8dd47284ebcfae2352e78e0d0611ca27a86c5c00932874ac8
asp/2020/1,asp,2020,True,True,1,1,https://www.legislation.gov.uk/asp/2020/1/enacted/data.xml,https://www.legislation.gov.uk/asp/2020/1/data.xml,available,available,110271,29016,e6e520703ad41ab596b7fa6d41b2bd05f258b48755e6f92a4798d97df0ea55a7,cc6c64b53215c72ccd1053dd83ac1ac36ed17390ba7a8d7f9337c464994e743b
asp/2020/13,asp,2020,True,True,9,9,https://www.legislation.gov.uk/asp/2020/13/enacted/data.xml,https://www.legislation.gov.uk/asp/2020/13/data.xml,available,available,805500,1412091,aab1e668614b6c120fd10eaa805cba5a6306d4f6ac067b0bf16620bab9d561c9,1a82ad6d54e2c776d0602fc07a6f86204a3b0e9f7569296392d458ccc8e6acfe
nia/2000/1,nia,2000,True,True,1,1,https://www.legislation.gov.uk/nia/2000/1/enacted/data.xml,https://www.legislation.gov.uk/nia/2000/1/data.xml,available,available,10954,14057,db430f5c75a3b3f2fde13803d33737d2828449d3bc264daf7348c65b53a505d9,12f7c21f923b9580f4d8d0177caa087a39b42ba7e8ccecc2da7abfbb436c7dbe
nia/2007/2,nia,2007,True,True,8,8,https://www.legislation.gov.uk/nia/2007/2/enacted/data.xml,https://www.legislation.gov.uk/nia/2007/2/data.xml,available,available,592530,1606980,c25f239adf19164f0355e610e8bf9ded0e6460da632d9b8ef1772b7ad13185c1,c95750538e96af5828ba35c182c3937e51f4ee5cc0675709b1c1bdf7278520f2
nia/2010/1,nia,2010,True,True,1,1,https://www.legislation.gov.uk/nia/2010/1/enacted/data.xml,https://www.legislation.gov.uk/nia/2010/1/data.xml,available,available,83121,85277,7d7f3eeb7ae05442dc165e2dfe03a11ff24c3c6f7a2f0578d340b912211d6a7b,9d6741cd7cae53188764bbec4f948faadf8efe115db53a95ce383c4ca0f1360c
nia/2010/2,nia,2010,True,True,7,7,https://www.legislation.gov.uk/nia/2010/2/enacted/data.xml,https://www.legislation.gov.uk/nia/2010/2/data.xml,available,available,354572,788712,49a3580346be6fc9475f9d9d1dee9f73aa7d13d41dc3695cedce5d7c4baacddf,e2e62454ff00cae77921336378c81b1d7be7983712a516a153646ee0515ced7a
nia/2020/1,nia,2020,True,True,1,1,https://www.legislation.gov.uk/nia/2020/1/enacted/data.xml,https://www.legislation.gov.uk/nia/2020/1/data.xml,available,available,158984,158984,d3b7adbc9caa556fc2d3889f20dc183df4206fea91a32e489c89e7e0098d7f49,d3b7adbc9caa556fc2d3889f20dc183df4206fea91a32e489c89e7e0098d7f49
nia/2021/6,nia,2021,True,True,6,6,https://www.legislation.gov.uk/nia/2021/6/enacted/data.xml,https://www.legislation.gov.uk/nia/2021/6/data.xml,available,available,316444,579616,3b6f9c63a55a8915fbab08f484f3fe925007253a6074c68718a478185819b514,93292fa361806ee11be4a5dd4eb8b46f6e178b8aec677d60c3e2056e39c01510
ukpga/1801/52,ukpga,1801,True,True,1,1,https://www.legislation.gov.uk/ukpga/1801/52/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1801/52/data.xml,available,available,22789,15403,027413e6c883fcf2f2263f3d56d60a7b5c5dfbb9bb0b359cba8bbfb7f5f1d707,ad01ad5040c29b2a53562545ad3cdc14a288df928a742a5964436177191f997a
ukpga/1811/115,ukpga,1811,True,True,1,1,https://www.legislation.gov.uk/ukpga/1811/115/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1811/115/data.xml,available,available,14852,17699,09ea9145ced9b831a76cfa6ba3a87f3a776b11a376e5091201079f0ba20afffb,f0bfe3a8cf87942efb2b4f6b4d013609b809a4eda13d873915b7c8c298a509c4
ukpga/1820/100,ukpga,1820,True,True,1,1,https://www.legislation.gov.uk/ukpga/1820/100/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1820/100/data.xml,available,available,84948,29113,c6e57cb18e0b96debc2998702648478a27b3943d789a387c5c5a87c7d1bf71d9,6c07c13a05e921ccd00920168845527b21347597c4f2c9c798c73a6948cc2194
ukpga/1831/22,ukpga,1831,True,True,1,1,https://www.legislation.gov.uk/ukpga/1831/22/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1831/22/data.xml,available,available,154841,107138,df193c52617d6463e2b2b69d7dd6daf91585e418cc718121d8fab9fe5eec05ea,e9e85b8206e459d812409ec37af4476c1814abfc493cdd3dd345b60332af9010
ukpga/1840/110,ukpga,1840,True,True,1,1,https://www.legislation.gov.uk/ukpga/1840/110/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1840/110/data.xml,available,available,56189,70986,79fc2e116e515f237bb8f9dd14de071bbd615a36506b6f66d3ce6da52a0cd26d,18759d0e433ec9e45b6f3871fbba76001830641a5f560e128f155accb8740feb
ukpga/1845/20,ukpga,1845,True,True,18,18,https://www.legislation.gov.uk/ukpga/1845/20/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1845/20/data.xml,available,available,230651,1563570,343913d6866bbd03f8ae00e0afd08235221494f428641a4e101aca1f3591c4c4,285f07c4bab0658abd05c07e38186c813ee52119e61b21a1f72b755cf58ba70d
ukpga/1850/1,ukpga,1850,True,True,1,1,https://www.legislation.gov.uk/ukpga/1850/1/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1850/1/data.xml,available,available,2504,2504,374fc62ca75c1b8ff2ee51812f724b9e489ba2105549dff3140204509b35dd9c,374fc62ca75c1b8ff2ee51812f724b9e489ba2105549dff3140204509b35dd9c
