statute_id,act_type,year,n_effects,n_enacted_eids,n_oracle_eids,n_common,score,status,error
asp/1999/1,asp,1999,1,24,0,0,0.0000,OK,
asp/2000/1,asp,2000,2,528,637,486,0.7630,OK,
asp/2000/10,asp,2000,1,703,728,699,0.9602,OK,
asp/2000/11,asp,2000,3,398,387,340,0.8543,OK,
asp/2000/12,asp,2000,1,4,4,4,1.0000,OK,
asp/2000/2,asp,2000,1,68,63,60,0.8824,OK,
asp/2000/3,asp,2000,1,4,4,4,1.0000,OK,
asp/2000/4,asp,2000,6,1300,1705,1152,0.6757,OK,
asp/2000/5,asp,2000,6,1253,1515,1143,0.7545,OK,
asp/2000/6,asp,2000,2,395,365,252,0.6380,OK,
asp/2000/7,asp,2000,5,423,448,338,0.7545,OK,
asp/2000/8,asp,2000,1,47,47,47,1.0000,OK,
asp/2000/9,asp,2000,1,121,92,90,0.7438,OK,
asp/2001/1,asp,2001,1,24,0,0,0.0000,OK,
asp/2001/10,asp,2001,6,1952,1466,1241,0.6358,OK,
asp/2001/11,asp,2001,1,96,28,27,0.2812,OK,
asp/2001/12,asp,2001,1,13,0,0,0.0000,OK,
asp/2001/13,asp,2001,1,549,647,544,0.8408,OK,
asp/2001/14,asp,2001,1,76,80,61,0.7625,OK,
asp/2001/15,asp,2001,1,21,0,0,0.0000,OK,
asp/2001/2,asp,2001,3,955,1449,548,0.3782,OK,
asp/2001/3,asp,2001,1,5,0,0,0.0000,OK,
asp/2001/4,asp,2001,1,77,71,68,0.8831,OK,
asp/2001/5,asp,2001,1,75,81,75,0.9259,OK,
asp/2001/6,asp,2001,1,34,17,17,0.5000,OK,
asp/2001/7,asp,2001,1,351,384,351,0.9141,OK,
asp/2001/8,asp,2001,5,1242,576,483,0.3889,OK,
asp/2001/9,asp,2001,1,4,4,4,1.0000,OK,
asp/2002/1,asp,2002,1,89,117,85,0.7265,OK,
asp/2002/10,asp,2002,1,50,53,50,0.9434,OK,
asp/2002/11,asp,2002,5,695,1000,693,0.6930,OK,
asp/2002/12,asp,2002,1,64,70,64,0.9143,OK,
asp/2002/13,asp,2002,8,942,1176,938,0.7976,OK,
asp/2002/14,asp,2002,1,54,0,0,0.0000,OK,
asp/2002/15,asp,2002,1,7,7,7,1.0000,OK,
asp/2002/16,asp,2002,1,221,190,169,0.7647,OK,
asp/2002/17,asp,2002,3,826,1200,807,0.6725,OK,
asp/2002/2,asp,2002,1,23,4,4,0.1739,OK,
asp/2002/3,asp,2002,4,1823,1985,1649,0.8307,OK,
asp/2002/4,asp,2002,1,11,14,11,0.7857,OK,
asp/2002/5,asp,2002,2,298,196,180,0.6040,OK,
asp/2002/6,asp,2002,1,101,0,0,0.0000,OK,
asp/2002/7,asp,2002,2,86,80,77,0.8953,OK,
asp/2002/8,asp,2002,1,17,17,17,1.0000,OK,
asp/2002/9,asp,2002,1,75,75,74,0.9867,OK,
asp/2003/1,asp,2003,3,575,487,468,0.8139,OK,
asp/2003/10,asp,2003,1,139,104,97,0.6978,OK,
asp/2003/11,asp,2003,8,1183,1779,1107,0.6223,OK,
asp/2003/12,asp,2003,1,106,115,106,0.9217,OK,
asp/2003/13,asp,2003,19,4951,5484,4723,0.8612,OK,
asp/2003/14,asp,2003,1,8,9,8,0.8889,OK,
asp/2003/15,asp,2003,4,762,1159,754,0.6506,OK,
asp/2003/16,asp,2003,1,9,11,9,0.8182,OK,
asp/2003/17,asp,2003,1,196,281,162,0.5765,OK,
asp/2003/18,asp,2003,1,8,8,8,1.0000,OK,
asp/2003/19,asp,2003,1,46,59,46,0.7797,OK,
asp/2003/2,asp,2003,10,1334,2381,1321,0.5548,OK,
asp/2003/3,asp,2003,4,708,944,677,0.7172,OK,
asp/2003/4,asp,2003,5,509,377,362,0.7112,OK,
asp/2003/5,asp,2003,2,397,54,51,0.1285,OK,
asp/2003/6,asp,2003,3,92,106,83,0.7830,OK,
asp/2003/7,asp,2003,10,980,1074,765,0.7123,OK,
asp/2003/8,asp,2003,4,898,956,866,0.9059,OK,
asp/2003/9,asp,2003,4,1231,1406,1214,0.8634,OK,
asp/2004/1,asp,2004,1,144,146,140,0.9589,OK,
asp/2004/10,asp,2004,1,344,391,344,0.8798,OK,
asp/2004/11,asp,2004,2,569,644,559,0.8680,OK,
asp/2004/12,asp,2004,1,55,57,55,0.9649,OK,
asp/2004/2,asp,2004,2,83,86,83,0.9651,OK,
asp/2004/3,asp,2004,3,186,228,185,0.8114,OK,
asp/2004/4,asp,2004,6,768,878,632,0.7198,OK,
asp/2004/5,asp,2004,3,330,329,326,0.9879,OK,
asp/2004/6,asp,2004,5,1108,1206,1105,0.9163,OK,
asp/2004/7,asp,2004,1,63,63,57,0.9048,OK,
asp/2004/8,asp,2004,9,1708,2052,1653,0.8056,OK,
asp/2004/9,asp,2004,1,132,158,132,0.8354,OK,
asp/2005/1,asp,2005,1,24,33,24,0.7273,OK,
asp/2005/10,asp,2005,9,1444,1841,1322,0.7181,OK,
asp/2005/11,asp,2005,1,20,22,20,0.9091,OK,
asp/2005/12,asp,2005,2,553,661,538,0.8139,OK,
asp/2005/13,asp,2005,3,498,493,437,0.8775,OK,
asp/2005/14,asp,2005,2,332,187,172,0.5181,OK,
asp/2005/15,asp,2005,3,494,523,494,0.9446,OK,
asp/2005/16,asp,2005,13,2216,2810,2188,0.7786,OK,
asp/2005/2,asp,2005,1,83,88,82,0.9318,OK,
asp/2005/3,asp,2005,3,785,964,779,0.8081,OK,
asp/2005/4,asp,2005,2,84,75,75,0.8929,OK,
asp/2005/5,asp,2005,7,1057,1369,856,0.6253,OK,
asp/2005/6,asp,2005,6,533,1291,532,0.4121,OK,
asp/2005/7,asp,2005,2,245,337,245,0.7270,OK,
asp/2005/8,asp,2005,1,52,359,52,0.1448,OK,
asp/2005/9,asp,2005,2,239,136,117,0.4895,OK,
asp/2006/1,asp,2006,13,2415,2757,2351,0.8527,OK,
asp/2006/10,asp,2006,7,1750,1237,980,0.5600,OK,
asp/2006/11,asp,2006,3,809,1147,795,0.6931,OK,
asp/2006/12,asp,2006,2,219,365,189,0.5178,OK,
asp/2006/13,asp,2006,1,496,572,496,0.8671,OK,
asp/2006/14,asp,2006,3,702,633,618,0.8803,OK,
asp/2006/15,asp,2006,1,70,82,67,0.8171,OK,
asp/2006/16,asp,2006,2,367,446,365,0.8184,OK,
asp/2006/17,asp,2006,3,418,430,416,0.9674,OK,
asp/2006/2,asp,2006,2,381,378,353,0.9265,OK,
asp/2006/3,asp,2006,1,117,0,0,0.0000,OK,
asp/2006/4,asp,2006,5,815,1324,670,0.5060,OK,
asp/2006/5,asp,2006,2,84,77,75,0.8929,OK,
asp/2006/6,asp,2006,1,658,738,658,0.8916,OK,
asp/2006/7,asp,2006,1,684,767,684,0.8918,OK,
asp/2006/8,asp,2006,1,252,268,252,0.9403,OK,
asp/2006/9,asp,2006,1,47,0,0,0.0000,OK,
asp/2007/1,asp,2007,1,452,514,452,0.8794,OK,
asp/2007/10,asp,2007,3,695,737,671,0.9104,OK,
asp/2007/11,asp,2007,1,22,19,16,0.7273,OK,
asp/2007/12,asp,2007,2,351,450,350,0.7778,OK,
asp/2007/13,asp,2007,1,33,46,33,0.7174,OK,
asp/2007/14,asp,2007,15,1146,1398,957,0.6845,OK,
asp/2007/15,asp,2007,1,34,36,34,0.9444,OK,
asp/2007/16,asp,2007,1,596,676,596,0.8817,OK,
asp/2007/17,asp,2007,3,745,95,78,0.1047,OK,
asp/2007/18,asp,2007,1,10,0,0,0.0000,OK,
asp/2007/19,asp,2007,1,526,607,526,0.8666,OK,
